SI,ProductSale,PurchasePrice,Profit,date,weekday,weekend,Category,demand
90,4.0,9.2,-3.0155122,31-01-2016,0,1,1,320
91,4.0,9.2,-3.0155122,31-01-2016,0,1,2,244
92,4.0,9.2,-3.0155122,31-01-2016,0,1,3,360
93,30.0,6.6,4.2696417,01-02-2016,1,0,1,207
94,30.0,6.6,4.2696417,01-02-2016,1,0,2,269
95,30.0,6.6,4.2696417,01-02-2016,1,0,3,190
96,43.0,9.6,-4.0989325,02-02-2016,1,0,1,207
97,43.0,9.6,-4.0989325,02-02-2016,1,0,2,269
98,43.0,9.6,-4.0989325,02-02-2016,1,0,3,190
99,38.9,9.4,3.0074479,03-02-2016,1,0,1,207
100,38.9,9.4,3.0074479,03-02-2016,1,0,2,269
101,38.9,9.4,3.0074479,03-02-2016,1,0,3,190
102,42.8,6.0,-4.3329335,04-02-2016,1,0,1,207
103,42.8,6.0,-4.3329335,04-02-2016,1,0,2,269
104,42.8,6.0,-4.3329335,04-02-2016,1,0,3,190
105,51.9,9.3,-2.2393921,05-02-2016,1,0,1,207
106,51.9,9.3,-2.2393921,05-02-2016,1,0,2,269
107,51.9,9.3,-2.2393921,05-02-2016,1,0,3,190
108,15.0,7.0,-1.522375,06-02-2016,0,1,1,207
109,15.0,7.0,-1.522375,06-02-2016,0,1,2,269
110,15.0,7.0,-1.522375,06-02-2016,0,1,3,190
111,8.1,7.3,2.9866457,07-02-2016,0,1,1,207
112,8.1,7.3,2.9866457,07-02-2016,0,1,2,269
113,8.1,7.3,2.9866457,07-02-2016,0,1,3,190
114,41.9,7.5,4.8603139,08-02-2016,1,0,1,207
115,41.9,7.5,4.8603139,08-02-2016,1,0,2,269
116,41.9,7.5,4.8603139,08-02-2016,1,0,3,190
117,22.9,9.1,-2.359574,09-02-2016,1,0,1,207
118,22.9,9.1,-2.359574,09-02-2016,1,0,2,269
119,22.9,9.1,-2.359574,09-02-2016,1,0,3,190
120,54.8,8.5,0.9627371,10-02-2016,1,0,1,207
121,54.8,8.5,0.9627371,10-02-2016,1,0,2,269
122,54.8,8.5,0.9627371,10-02-2016,1,0,3,190
123,31.2,7.4,-3.5263877,11-02-2016,1,0,1,207
124,31.2,7.4,-3.5263877,11-02-2016,1,0,2,269
125,31.2,7.4,-3.5263877,11-02-2016,1,0,3,190
126,52.7,8.6,5.7622705,12-02-2016,1,0,1,207
127,52.7,8.6,5.7622705,12-02-2016,1,0,2,269
128,52.7,8.6,5.7622705,12-02-2016,1,0,3,190
129,22.7,9.0,-2.7784634,13-02-2016,0,1,1,207
130,22.7,9.0,-2.7784634,13-02-2016,0,1,2,269
131,22.7,9.0,-2.7784634,13-02-2016,0,1,3,190
132,41.9,6.7,1.2185448,14-02-2016,0,1,1,207
133,41.9,6.7,1.2185448,14-02-2016,0,1,2,269
134,41.9,6.7,1.2185448,14-02-2016,0,1,3,190
135,50.5,9.6,0.8212526,15-02-2016,1,0,1,207
136,50.5,9.6,0.8212526,15-02-2016,1,0,2,269
137,50.5,9.6,0.8212526,15-02-2016,1,0,3,190
138,33.6,8.1,2.2914872,16-02-2016,1,0,1,207
139,33.6,8.1,2.2914872,16-02-2016,1,0,2,269
140,33.6,8.1,2.2914872,16-02-2016,1,0,3,190
141,53.3,9.6,-1.4959385,17-02-2016,1,0,1,207
142,53.3,9.6,-1.4959385,17-02-2016,1,0,2,269
143,53.3,9.6,-1.4959385,17-02-2016,1,0,3,190
144,42.7,8.7,6.7938119,18-02-2016,1,0,1,207
145,42.7,8.7,6.7938119,18-02-2016,1,0,2,269
146,42.7,8.7,6.7938119,18-02-2016,1,0,3,190
147,27.7,8.1,3.1860003,19-02-2016,1,0,1,207
148,27.7,8.1,3.1860003,19-02-2016,1,0,2,269
149,27.7,8.1,3.1860003,19-02-2016,1,0,3,190
150,29.4,9.5,-4.9291143,20-02-2016,0,1,1,207
151,29.4,9.5,-4.9291143,20-02-2016,0,1,2,269
152,29.4,9.5,-4.9291143,20-02-2016,0,1,3,190
153,35.5,6.6,-3.319247,21-02-2016,0,1,1,207
154,35.5,6.6,-3.319247,21-02-2016,0,1,2,269
155,35.5,6.6,-3.319247,21-02-2016,0,1,3,190
156,67.4,8.0,1.6722221,22-02-2016,1,0,1,207
157,67.4,8.0,1.6722221,22-02-2016,1,0,2,269
158,67.4,8.0,1.6722221,22-02-2016,1,0,3,190
159,47.5,8.1,1.9797298,23-02-2016,1,0,1,207
160,47.5,8.1,1.9797298,23-02-2016,1,0,2,269
161,47.5,8.1,1.9797298,23-02-2016,1,0,3,190
162,18.9,7.0,-0.4929939,24-02-2016,1,0,1,207
163,18.9,7.0,-0.4929939,24-02-2016,1,0,2,269
164,18.9,7.0,-0.4929939,24-02-2016,1,0,3,190
165,6.3,7.3,6.3810782,25-02-2016,1,0,1,207
166,6.3,7.3,6.3810782,25-02-2016,1,0,2,269
167,6.3,7.3,6.3810782,25-02-2016,1,0,3,190
168,18.2,8.5,4.1091044,26-02-2016,1,0,1,207
169,18.2,8.5,4.1091044,26-02-2016,1,0,2,269
170,18.2,8.5,4.1091044,26-02-2016,1,0,3,190
171,6.2,8.6,-0.9228749,27-02-2016,0,1,1,207
172,6.2,8.6,-0.9228749,27-02-2016,0,1,2,269
173,6.2,8.6,-0.9228749,27-02-2016,0,1,3,190
174,6.2,9.7,1.8626494,28-02-2016,0,1,1,207
175,6.2,9.7,1.8626494,28-02-2016,0,1,2,269
176,6.2,9.7,1.8626494,28-02-2016,0,1,3,190
177,55.4,9.7,2.4263923,29-02-2016,1,0,1,207
178,55.4,9.7,2.4263923,29-02-2016,1,0,2,269
179,55.4,9.7,2.4263923,29-02-2016,1,0,3,190
180,19.1,6.8,-4.7445162,01-03-2016,1,0,1,241
181,19.1,6.8,-4.7445162,01-03-2016,1,0,2,356
182,19.1,6.8,-4.7445162,01-03-2016,1,0,3,329
183,5.0,9.6,-1.8230366,02-03-2016,1,0,1,241
184,5.0,9.6,-1.8230366,02-03-2016,1,0,2,356
185,5.0,9.6,-1.8230366,02-03-2016,1,0,3,329
186,25.3,6.1,0.9306445,03-03-2016,1,0,1,241
187,25.3,6.1,0.9306445,03-03-2016,1,0,2,356
188,25.3,6.1,0.9306445,03-03-2016,1,0,3,329
189,3.3,6.9,-1.3973612,04-03-2016,1,0,1,241
190,3.3,6.9,-1.3973612,04-03-2016,1,0,2,356
191,3.3,6.9,-1.3973612,04-03-2016,1,0,3,329
192,39.4,8.0,-4.5217793,05-03-2016,0,1,1,241
193,39.4,8.0,-4.5217793,05-03-2016,0,1,2,356
194,39.4,8.0,-4.5217793,05-03-2016,0,1,3,329
195,2.8,7.5,3.1487879,06-03-2016,0,1,1,241
196,2.8,7.5,3.1487879,06-03-2016,0,1,2,356
197,2.8,7.5,3.1487879,06-03-2016,0,1,3,329
198,12.9,7.9,5.9679126,07-03-2016,1,0,1,241
199,12.9,7.9,5.9679126,07-03-2016,1,0,2,356
200,12.9,7.9,5.9679126,07-03-2016,1,0,3,329
201,13.1,6.5,0.3623763,08-03-2016,1,0,1,241
202,13.1,6.5,0.3623763,08-03-2016,1,0,2,356
203,13.1,6.5,0.3623763,08-03-2016,1,0,3,329
204,60.6,8.6,6.4058308,09-03-2016,1,0,1,241
205,60.6,8.6,6.4058308,09-03-2016,1,0,2,356
206,60.6,8.6,6.4058308,09-03-2016,1,0,3,329
207,6.6,9.3,1.8528234,10-03-2016,1,0,1,241
208,6.6,9.3,1.8528234,10-03-2016,1,0,2,356
209,6.6,9.3,1.8528234,10-03-2016,1,0,3,329
210,62.6,7.9,-3.5187166,11-03-2016,1,0,1,241
211,62.6,7.9,-3.5187166,11-03-2016,1,0,2,356
212,62.6,7.9,-3.5187166,11-03-2016,1,0,3,329
213,1.0,7.7,5.667999,12-03-2016,0,1,1,241
214,1.0,7.7,5.667999,12-03-2016,0,1,2,356
215,1.0,7.7,5.667999,12-03-2016,0,1,3,329
216,67.6,6.4,2.5662672,13-03-2016,0,1,1,241
217,67.6,6.4,2.5662672,13-03-2016,0,1,2,356
218,67.6,6.4,2.5662672,13-03-2016,0,1,3,329
219,68.3,7.8,1.5804024,14-03-2016,1,0,1,241
220,68.3,7.8,1.5804024,14-03-2016,1,0,2,356
221,68.3,7.8,1.5804024,14-03-2016,1,0,3,329
222,31.1,8.0,2.2181089,15-03-2016,1,0,1,241
223,31.1,8.0,2.2181089,15-03-2016,1,0,2,356
224,31.1,8.0,2.2181089,15-03-2016,1,0,3,329
225,52.7,6.7,6.5424061,16-03-2016,1,0,1,241
226,52.7,6.7,6.5424061,16-03-2016,1,0,2,356
227,52.7,6.7,6.5424061,16-03-2016,1,0,3,329
228,28.0,6.7,2.3122545,17-03-2016,1,0,1,241
229,28.0,6.7,2.3122545,17-03-2016,1,0,2,356
230,28.0,6.7,2.3122545,17-03-2016,1,0,3,329
231,61.4,7.8,-3.0700725,18-03-2016,1,0,1,241
232,61.4,7.8,-3.0700725,18-03-2016,1,0,2,356
233,61.4,7.8,-3.0700725,18-03-2016,1,0,3,329
234,54.2,9.5,-0.2799033,19-03-2016,0,1,1,241
235,54.2,9.5,-0.2799033,19-03-2016,0,1,2,356
236,54.2,9.5,-0.2799033,19-03-2016,0,1,3,329
237,49.7,6.0,-4.6820349,20-03-2016,0,1,1,241
238,49.7,6.0,-4.6820349,20-03-2016,0,1,2,356
239,49.7,6.0,-4.6820349,20-03-2016,0,1,3,329
240,56.3,6.3,-2.2108491,21-03-2016,1,0,1,241
241,56.3,6.3,-2.2108491,21-03-2016,1,0,2,356
242,56.3,6.3,-2.2108491,21-03-2016,1,0,3,329
243,34.7,9.2,1.1876738,22-03-2016,1,0,1,241
244,34.7,9.2,1.1876738,22-03-2016,1,0,2,356
245,34.7,9.2,1.1876738,22-03-2016,1,0,3,329
246,62.9,9.1,3.6852719,23-03-2016,1,0,1,241
247,62.9,9.1,3.6852719,23-03-2016,1,0,2,356
248,62.9,9.1,3.6852719,23-03-2016,1,0,3,329
249,62.1,9.3,-0.1917026,24-03-2016,1,0,1,241
250,62.1,9.3,-0.1917026,24-03-2016,1,0,2,356
251,62.1,9.3,-0.1917026,24-03-2016,1,0,3,329
252,21.8,6.0,-2.4720322,25-03-2016,1,0,1,241
253,21.8,6.0,-2.4720322,25-03-2016,1,0,2,356
254,21.8,6.0,-2.4720322,25-03-2016,1,0,3,329
255,31.0,9.0,1.2731472,26-03-2016,0,1,1,241
256,31.0,9.0,1.2731472,26-03-2016,0,1,2,356
257,31.0,9.0,1.2731472,26-03-2016,0,1,3,329
258,13.3,6.0,-4.6961585,27-03-2016,0,1,1,241
259,13.3,6.0,-4.6961585,27-03-2016,0,1,2,356
260,13.3,6.0,-4.6961585,27-03-2016,0,1,3,329
261,26.6,9.1,5.4317247,28-03-2016,1,0,1,241
262,26.6,9.1,5.4317247,28-03-2016,1,0,2,356
263,26.6,9.1,5.4317247,28-03-2016,1,0,3,329
264,3.6,6.9,6.1075121,29-03-2016,1,0,1,241
265,3.6,6.9,6.1075121,29-03-2016,1,0,2,356
266,3.6,6.9,6.1075121,29-03-2016,1,0,3,329
267,69.3,6.1,-0.3338463,30-03-2016,1,0,1,241
268,69.3,6.1,-0.3338463,30-03-2016,1,0,2,356
269,69.3,6.1,-0.3338463,30-03-2016,1,0,3,329
270,13.2,6.8,-3.9843889,31-03-2016,1,0,1,241
271,13.2,6.8,-3.9843889,31-03-2016,1,0,2,356
272,13.2,6.8,-3.9843889,31-03-2016,1,0,3,329
273,17.7,6.2,5.0277819,01-04-2016,1,0,1,331
274,17.7,6.2,5.0277819,01-04-2016,1,0,2,354
275,17.7,6.2,5.0277819,01-04-2016,1,0,3,376
276,35.1,9.5,-4.5277071,02-04-2016,0,1,1,331
277,35.1,9.5,-4.5277071,02-04-2016,0,1,2,354
278,35.1,9.5,-4.5277071,02-04-2016,0,1,3,376
279,54.1,8.2,6.5634103,03-04-2016,0,1,1,331
280,54.1,8.2,6.5634103,03-04-2016,0,1,2,354
281,54.1,8.2,6.5634103,03-04-2016,0,1,3,376
282,23.8,8.6,0.5073633,04-04-2016,1,0,1,331
283,23.8,8.6,0.5073633,04-04-2016,1,0,2,354
284,23.8,8.6,0.5073633,04-04-2016,1,0,3,376
285,57.6,8.5,6.2377344,05-04-2016,1,0,1,331
286,57.6,8.5,6.2377344,05-04-2016,1,0,2,354
287,57.6,8.5,6.2377344,05-04-2016,1,0,3,376
288,40.8,8.0,-2.4133152,06-04-2016,1,0,1,331
289,40.8,8.0,-2.4133152,06-04-2016,1,0,2,354
290,40.8,8.0,-2.4133152,06-04-2016,1,0,3,376
291,20.1,6.5,4.6160157,07-04-2016,1,0,1,331
292,20.1,6.5,4.6160157,07-04-2016,1,0,2,354
293,20.1,6.5,4.6160157,07-04-2016,1,0,3,376
294,45.6,9.0,-2.1588255,08-04-2016,1,0,1,331
295,45.6,9.0,-2.1588255,08-04-2016,1,0,2,354
296,45.6,9.0,-2.1588255,08-04-2016,1,0,3,376
297,64.4,9.6,-4.3039394,09-04-2016,0,1,1,331
298,64.4,9.6,-4.3039394,09-04-2016,0,1,2,354
299,64.4,9.6,-4.3039394,09-04-2016,0,1,3,376
300,36.9,6.2,0.9728649,10-04-2016,0,1,1,331
301,36.9,6.2,0.9728649,10-04-2016,0,1,2,354
302,36.9,6.2,0.9728649,10-04-2016,0,1,3,376
303,60.7,8.6,-2.1786242,11-04-2016,1,0,1,331
304,60.7,8.6,-2.1786242,11-04-2016,1,0,2,354
305,60.7,8.6,-2.1786242,11-04-2016,1,0,3,376
306,17.3,8.5,4.5334004,12-04-2016,1,0,1,331
307,17.3,8.5,4.5334004,12-04-2016,1,0,2,354
308,17.3,8.5,4.5334004,12-04-2016,1,0,3,376
309,26.8,8.1,1.46494,13-04-2016,1,0,1,331
310,26.8,8.1,1.46494,13-04-2016,1,0,2,354
311,26.8,8.1,1.46494,13-04-2016,1,0,3,376
312,53.4,6.9,4.5349943,14-04-2016,1,0,1,331
313,53.4,6.9,4.5349943,14-04-2016,1,0,2,354
314,53.4,6.9,4.5349943,14-04-2016,1,0,3,376
315,14.6,7.9,2.4656912,15-04-2016,1,0,1,331
316,14.6,7.9,2.4656912,15-04-2016,1,0,2,354
317,14.6,7.9,2.4656912,15-04-2016,1,0,3,376
318,42.2,9.4,6.0122487,16-04-2016,0,1,1,331
319,42.2,9.4,6.0122487,16-04-2016,0,1,2,354
320,42.2,9.4,6.0122487,16-04-2016,0,1,3,376
321,34.3,8.8,1.60416,17-04-2016,0,1,1,331
322,34.3,8.8,1.60416,17-04-2016,0,1,2,354
323,34.3,8.8,1.60416,17-04-2016,0,1,3,376
324,50.6,9.4,2.3525621,18-04-2016,1,0,1,331
325,50.6,9.4,2.3525621,18-04-2016,1,0,2,354
326,50.6,9.4,2.3525621,18-04-2016,1,0,3,376
327,36.4,9.2,1.9971782,19-04-2016,1,0,1,331
328,36.4,9.2,1.9971782,19-04-2016,1,0,2,354
329,36.4,9.2,1.9971782,19-04-2016,1,0,3,376
330,35.5,6.8,5.3529098,20-04-2016,1,0,1,331
331,35.5,6.8,5.3529098,20-04-2016,1,0,2,354
332,35.5,6.8,5.3529098,20-04-2016,1,0,3,376
333,58.4,9.6,3.8744728,21-04-2016,1,0,1,331
334,58.4,9.6,3.8744728,21-04-2016,1,0,2,354
335,58.4,9.6,3.8744728,21-04-2016,1,0,3,376
336,42.9,9.7,5.1678989,22-04-2016,1,0,1,331
337,42.9,9.7,5.1678989,22-04-2016,1,0,2,354
338,42.9,9.7,5.1678989,22-04-2016,1,0,3,376
339,28.2,8.0,-1.730914,23-04-2016,0,1,1,331
340,28.2,8.0,-1.730914,23-04-2016,0,1,2,354
341,28.2,8.0,-1.730914,23-04-2016,0,1,3,376
342,4.5,9.1,5.2664575,24-04-2016,0,1,1,331
343,4.5,9.1,5.2664575,24-04-2016,0,1,2,354
344,4.5,9.1,5.2664575,24-04-2016,0,1,3,376
345,33.9,7.0,1.0123531,25-04-2016,1,0,1,331
346,33.9,7.0,1.0123531,25-04-2016,1,0,2,354
347,33.9,7.0,1.0123531,25-04-2016,1,0,3,376
348,26.0,7.9,3.0175445,26-04-2016,1,0,1,331
349,26.0,7.9,3.0175445,26-04-2016,1,0,2,354
350,26.0,7.9,3.0175445,26-04-2016,1,0,3,376
351,48.5,6.6,-0.7260381,27-04-2016,1,0,1,331
352,48.5,6.6,-0.7260381,27-04-2016,1,0,2,354
353,48.5,6.6,-0.7260381,27-04-2016,1,0,3,376
354,31.8,7.5,-0.1735092,28-04-2016,1,0,1,331
355,31.8,7.5,-0.1735092,28-04-2016,1,0,2,354
356,31.8,7.5,-0.1735092,28-04-2016,1,0,3,376
357,49.6,8.5,-3.3207419,29-04-2016,1,0,1,331
358,49.6,8.5,-3.3207419,29-04-2016,1,0,2,354
359,49.6,8.5,-3.3207419,29-04-2016,1,0,3,376
360,55.6,7.1,4.0638606,30-04-2016,0,1,1,331
361,55.6,7.1,4.0638606,30-04-2016,0,1,2,354
362,55.6,7.1,4.0638606,30-04-2016,0,1,3,376
363,3.4,9.6,0.6356668,01-05-2016,0,1,1,445
364,3.4,9.6,0.6356668,01-05-2016,0,1,2,206
365,3.4,9.6,0.6356668,01-05-2016,0,1,3,359
366,27.4,8.7,-2.1812757,02-05-2016,1,0,1,445
367,27.4,8.7,-2.1812757,02-05-2016,1,0,2,206
368,27.4,8.7,-2.1812757,02-05-2016,1,0,3,359
369,24.2,6.1,-2.8686972,03-05-2016,1,0,1,445
370,24.2,6.1,-2.8686972,03-05-2016,1,0,2,206
371,24.2,6.1,-2.8686972,03-05-2016,1,0,3,359
372,47.6,7.6,0.5419161,04-05-2016,1,0,1,445
373,47.6,7.6,0.5419161,04-05-2016,1,0,2,206
374,47.6,7.6,0.5419161,04-05-2016,1,0,3,359
375,25.4,8.7,6.5842744,05-05-2016,1,0,1,445
376,25.4,8.7,6.5842744,05-05-2016,1,0,2,206
377,25.4,8.7,6.5842744,05-05-2016,1,0,3,359
378,0.6,6.1,-4.6910423,06-05-2016,1,0,1,445
379,0.6,6.1,-4.6910423,06-05-2016,1,0,2,206
380,0.6,6.1,-4.6910423,06-05-2016,1,0,3,359
381,66.3,9.3,0.7164478,07-05-2016,0,1,1,445
382,66.3,9.3,0.7164478,07-05-2016,0,1,2,206
383,66.3,9.3,0.7164478,07-05-2016,0,1,3,359
384,38.9,9.0,2.5363321,08-05-2016,0,1,1,445
385,38.9,9.0,2.5363321,08-05-2016,0,1,2,206
386,38.9,9.0,2.5363321,08-05-2016,0,1,3,359
387,42.1,7.9,3.9761945,09-05-2016,1,0,1,445
388,42.1,7.9,3.9761945,09-05-2016,1,0,2,206
389,42.1,7.9,3.9761945,09-05-2016,1,0,3,359
390,14.6,6.5,3.9765589,10-05-2016,1,0,1,445
391,14.6,6.5,3.9765589,10-05-2016,1,0,2,206
392,14.6,6.5,3.9765589,10-05-2016,1,0,3,359
393,40.5,8.7,6.1472462,11-05-2016,1,0,1,445
394,40.5,8.7,6.1472462,11-05-2016,1,0,2,206
395,40.5,8.7,6.1472462,11-05-2016,1,0,3,359
396,54.8,8.3,4.875323,12-05-2016,1,0,1,445
397,54.8,8.3,4.875323,12-05-2016,1,0,2,206
398,54.8,8.3,4.875323,12-05-2016,1,0,3,359
399,9.4,6.4,4.7660507,13-05-2016,1,0,1,445
400,9.4,6.4,4.7660507,13-05-2016,1,0,2,206
401,9.4,6.4,4.7660507,13-05-2016,1,0,3,359
402,37.5,6.2,-3.4727205,14-05-2016,0,1,1,445
403,37.5,6.2,-3.4727205,14-05-2016,0,1,2,206
404,37.5,6.2,-3.4727205,14-05-2016,0,1,3,359
405,68.8,6.5,-0.88459,15-05-2016,0,1,1,445
406,68.8,6.5,-0.88459,15-05-2016,0,1,2,206
407,68.8,6.5,-0.88459,15-05-2016,0,1,3,359
408,19.3,6.9,-3.5890297,16-05-2016,1,0,1,445
409,19.3,6.9,-3.5890297,16-05-2016,1,0,2,206
410,19.3,6.9,-3.5890297,16-05-2016,1,0,3,359
411,28.4,9.6,2.6475999,17-05-2016,1,0,1,445
412,28.4,9.6,2.6475999,17-05-2016,1,0,2,206
413,28.4,9.6,2.6475999,17-05-2016,1,0,3,359
414,16.6,9.2,1.8500602,18-05-2016,1,0,1,445
415,16.6,9.2,1.8500602,18-05-2016,1,0,2,206
416,16.6,9.2,1.8500602,18-05-2016,1,0,3,359
417,32.6,7.8,2.0172969,19-05-2016,1,0,1,445
418,32.6,7.8,2.0172969,19-05-2016,1,0,2,206
419,32.6,7.8,2.0172969,19-05-2016,1,0,3,359
420,28.8,6.5,-3.4726444,20-05-2016,1,0,1,445
421,28.8,6.5,-3.4726444,20-05-2016,1,0,2,206
422,28.8,6.5,-3.4726444,20-05-2016,1,0,3,359
423,64.0,9.2,-1.7784892,21-05-2016,0,1,1,445
424,64.0,9.2,-1.7784892,21-05-2016,0,1,2,206
425,64.0,9.2,-1.7784892,21-05-2016,0,1,3,359
426,38.3,8.3,2.592605,22-05-2016,0,1,1,445
427,38.3,8.3,2.592605,22-05-2016,0,1,2,206
428,38.3,8.3,2.592605,22-05-2016,0,1,3,359
429,62.5,9.2,3.7986111,23-05-2016,1,0,1,445
430,62.5,9.2,3.7986111,23-05-2016,1,0,2,206
431,62.5,9.2,3.7986111,23-05-2016,1,0,3,359
432,40.2,7.0,0.5079982,24-05-2016,1,0,1,445
433,40.2,7.0,0.5079982,24-05-2016,1,0,2,206
434,40.2,7.0,0.5079982,24-05-2016,1,0,3,359
435,54.2,9.4,0.9076695,25-05-2016,1,0,1,445
436,54.2,9.4,0.9076695,25-05-2016,1,0,2,206
437,54.2,9.4,0.9076695,25-05-2016,1,0,3,359
438,16.1,9.1,-0.4481613,26-05-2016,1,0,1,445
439,16.1,9.1,-0.4481613,26-05-2016,1,0,2,206
440,16.1,9.1,-0.4481613,26-05-2016,1,0,3,359
441,43.5,9.7,-3.8129704,27-05-2016,1,0,1,445
442,43.5,9.7,-3.8129704,27-05-2016,1,0,2,206
443,43.5,9.7,-3.8129704,27-05-2016,1,0,3,359
